Player,School,School State,Hometown,State,,,
Henry Godbout,Virginia,VA,Brooklyn,NY,,,
Mark Gialluisi,Virginia,VA,Westfield,NJ,,,
Jay Woolfolk,Virginia,VA,Chesterfield,VA,,,
Luke Hanson,Virginia,VA,Williamsburg,VA,,,
Griff O'Ferrall,Virginia,VA,Richmond,VA,,,
Aidan Teel,Virginia,VA,Mahwah,NJ,,,
Casey Saucke,Virginia,VA,Rochester,NY,,,
Henry Ford,Virginia,VA,Charlottesville,VA,,,
Bradley Hodges,Virginia,VA,Fleming Island,FL,,,
Charlie Oschell,Virginia,VA,Phoenixville,PA,,,
Ryan Osinski,Virginia,VA,Alexandria,VA,,,
Jack O'Connor,Virginia,VA,Arlington,VA,,,
Evan Blanco,Virginia,VA,Woburn,MA,,,
Anthony Stephan,Virginia,VA,Ridgewood,NJ,,,
Tristan Head,Virginia,VA,Jupiter,FL,,,
Bobby Whalen,Virginia,VA,Camp Hill,PA,,,
Owen Coady,Virginia,VA,Larchmont,NY,,,
Antonio Perrotta,Virginia,VA,Rockville,MD,,,
Eric Becker,Virginia,VA,Thiells,NY,,,
Ethan Anderson,Virginia,VA,Virginia Beach,VA,,,
Matthew Buchanan,Virginia,VA,Lebanon,VA,,,
Joe Savino,Virginia,VA,Ronkonkoma,NY,,,
Jacob Ference,Virginia,VA,Mount Airy,MD,,,
Blake Barker,Virginia,VA,Chardon,OH,,,
Kevin Jaxel,Virginia,VA,Congers,NY,,,
Angelo Tonas,Virginia,VA,Hillsborough,CA,,,
Walker Buchanan,Virginia,VA,Jupiter,FL,,,
Freddy Beruvides Jr.,Virginia,VA,Palm Beach Gardens,FL,,,
Harrison Didawick,Virginia,VA,Chesapeake,VA,,,
Cullen McKay,Virginia,VA,Norfolk,VA,,,
Bryson Moore,Virginia,VA,Fairfax,VA,,,
Tommy Roldan,Virginia,VA,Poolesville,MD,,,
Dean Kampschror,Virginia,VA,Falls Church,VA,,,
Matt Augustin,Virginia,VA,Cherry Hill,NJ,,,
Luke Schauer,Virginia,VA,Washington,DC,,,
Nate Bassett,Virginia,VA,Bristow,VA,,,
Patric Menk,Virginia,VA,Jacksonville,FL,,,
Jimmy Romano,Duke,NC,Roseland,NJ,,,
Andrew Healy,Duke,NC,Glen Mills,PA,,,
Andrew Yu,Duke,NC,Nashville,TN,,,
Gabe Nard,Duke,NC,Shaker Heights,OH,,,
Alex Stone,Duke,NC,Andover,NJ,,,
Macon Winslow,Duke,NC,Hertford,NC,,,
Wallace Clark,Duke,NC,Tulsa,OK,,,
Josh Allen,Duke,NC,Oviedo,FL,,,
Owen Proksch,Duke,NC,Southlake,TX,,,
Aidan Weaver,Duke,NC,Jamison,PA,,,
Edward Hart,Duke,NC,San Antonio,TX,,,
Jonathan Santucci,Duke,NC,Leominster,MA,,,
Devin Obee,Duke,NC,Nashville,TN,,,
Kyle Johnson,Duke,NC,Leesburg,VA,,,
Jackson Emus,Duke,NC,Clinton,MA,,,
James Tallon,Duke,NC,Arlington,VA,,,
Sam Harris,Duke,NC,Urbandale,IO,,,
Tim Noone,Duke,NC,Needham,MA,,,
Nick Conte,Duke,NC,North Providence,RI,,,
Mike Miller,Duke,NC,Mendota,MN,,,
Zac Morris,Duke,NC,Suffolk,VA,,,
Logan Bravo,Duke,NC,Andover,MA,,,
Chad Knight,Duke,NC,Westport,CT,,,
Chase Krewson,Duke,NC,Bridgeville,PA,,,
Ryan Higgins,Duke,NC,New Canaan,CT,,,
AJ Gracia,Duke,NC,Monroe,NJ,,,
Camron Poe,Duke,NC,Chesterfield,MO,,,
Fran Oschell III,Duke,NC,Phoenixville,PA,,,
Sam Yelton,Duke,NC,Harrisburg,NC,,,
Roman DiGiacomo,Duke,NC,Fairfield,CT,,,
Ben Miller,Duke,NC,Durham,NC,,,
David Boisvert,Duke,NC,Charlotte,NC,,,
Noah Murray,Duke,NC,Crozet,VA,,,
Tyler Albright,Duke,NC,Greensboro,NC,,,
Jimmy Evans,Duke,NC,Norwalk,CT,,,
Charlie Beilenson,Duke,NC,Los Angeles,CA,,,
James Raidt,Duke,NC,Stamford,CT,,,
Harrison Rodgers,Duke,NC,San Diego,CA,,,
Ben Weaver,Duke,NC,Doylestown,PA,,,
Dorian Gonzalez Jr.,Miami,FL,Miami,FL,,,
JD Urso,Miami,FL,Tampa,FL,,,
Blake Cyr,Miami,FL,Windermere,FL,,,
Drew Dwyer,Miami,FL,Fort Myers,FL,,,
Jack Scanlon,Miami,FL,Sloatsburg,NY,,,
Lucas Costello,Miami,FL,Miami,FL,,,
Herick Hernandez,Miami,FL,Hialeah,FL,,,
Brian Walters,Miami,FL,Palm Bay,FL,,,
Antonio Jimenez,Miami,FL,Davie,FL,,,
Daniel Cuvet,Miami,FL,Fort Lauderdale,FL,,,
Luca Reyes,Miami,FL,Teaneck,NJ,,,
Chris Diaz,Miami,FL,Hialeah,FL,,,
