Player,School,Hometown,Hometown State,Hometown Full,Hometown Coordinates,Hometown Lat,Hometown Lon
Henry Godbout,Virginia,Brooklyn,NY,"Brooklyn, NY","(40.6526006, -73.9497211)",40.6526006,-73.9497211
Mark Gialluisi,Virginia,Westfield,NJ,"Westfield, NJ","(40.6589912, -74.3473717)",40.6589912,-74.3473717
Jay Woolfolk,Virginia,Chesterfield,VA,"Chesterfield, VA","(37.3859982, -77.578509)",37.3859982,-77.578509
Luke Hanson,Virginia,Williamsburg,VA,"Williamsburg, VA","(37.2708788, -76.7074042)",37.2708788,-76.7074042
Griff O'Ferrall,Virginia,Richmond,VA,"Richmond, VA","(37.5385087, -77.43428)",37.5385087,-77.43428
Aidan Teel,Virginia,Mahwah,NJ,"Mahwah, NJ","(41.0887072, -74.1437552)",41.0887072,-74.1437552
Casey Saucke,Virginia,Rochester,NY,"Rochester, NY","(43.157285, -77.615214)",43.157285,-77.615214
Henry Ford,Virginia,Charlottesville,VA,"Charlottesville, VA","(38.029306, -78.4766781)",38.029306,-78.4766781
Bradley Hodges,Virginia,Fleming Island,FL,"Fleming Island, FL","(24.5810655, -81.79636733317399)",24.5810655,-81.79636733
Charlie Oschell,Virginia,Phoenixville,PA,"Phoenixville, PA","(40.1303822, -75.5149128)",40.1303822,-75.5149128
Ryan Osinski,Virginia,Alexandria,VA,"Alexandria, VA","(38.8051095, -77.0470229)",38.8051095,-77.0470229
Jack O'Connor,Virginia,Arlington,VA,"Arlington, VA","(38.8903961, -77.0841585)",38.8903961,-77.0841585
Evan Blanco,Virginia,Woburn,MA,"Woburn, MA","(42.4792618, -71.1522766)",42.4792618,-71.1522766
Anthony Stephan,Virginia,Ridgewood,NJ,"Ridgewood, NJ","(40.9796683, -74.1194403)",40.9796683,-74.1194403
Tristan Head,Virginia,Jupiter,FL,"Jupiter, FL","(26.9342246, -80.0942087)",26.9342246,-80.0942087
Bobby Whalen,Virginia,Camp Hill,PA,"Camp Hill, PA","(40.2398118, -76.9199742)",40.2398118,-76.9199742
Owen Coady,Virginia,Larchmont,NY,"Larchmont, NY","(40.9278769, -73.7517983)",40.9278769,-73.7517983
Antonio Perrotta,Virginia,Rockville,MD,"Rockville, MD","(39.0817985, -77.1516844)",39.0817985,-77.1516844
Eric Becker,Virginia,Thiells,NY,"Thiells, NY","(41.2108695, -74.0182453)",41.2108695,-74.0182453
Ethan Anderson,Virginia,Virginia Beach,VA,"Virginia Beach, VA","(36.8529841, -75.9774183)",36.8529841,-75.9774183
Matthew Buchanan,Virginia,Lebanon,VA,"Lebanon, VA","(36.9009076, -82.0801257)",36.9009076,-82.0801257
