School,City,State,Full Location,School Coordinates,School Lat,School Lon
Virginia,Charlottesville,VA,"Virginia, VA","(38.033554, -78.507980)",38.0336,-78.5080
Notre Dame,South Bend,IN,"Notre Dame, IN","(41.704567749999995, -86.23822026017265)",41.7046,-86.2382
Georgia Tech,Atlanta,GA,"Georgia Tech, GA","(33.776094799999996, -84.3988076699857)",33.7761,-84.3988
Louisville,Louisville,KY,"Louisville, KY","(38.2542376, -85.759407)",38.2542,-85.7594
North Carolina,Chapel Hill,NC,"North Carolina, NC","(35.90503535, -79.04775326525107)",35.9050,-79.0478
Duke,Durham,NC,"Duke, NC","(36.00015569999999, -78.94422972195878)",36.0002,-78.9442
Clemson,Clemson,SC,"Clemson, SC","(34.6850749, -82.8364111)",34.6851,-82.8364
Miami,Miami,FL,"Miami, FL","(25.7741728, -80.19362)",25.7742,-80.1936
Wake Forest,Wake Forest,NC,"Wake Forest, NC","(35.9803138, -78.5103731)",35.9803,-78.5104
Boston College,Boston,MA,"Boston College, MA","(42.3354481, -71.16826648999114)",42.3354,-71.1683
Pitt,Pittsburgh,PA,"Pitt, PA","(40.44415295, -79.96246095144505)",40.4442,-79.9625
Florida State,Tallahassee,FL,"Florida State, FL","(30.4419, -84.2986)",30.4419,-84.2986
Virginia Tech,Blacksburg,VA,"Virginia Tech, VA","(37.22192675, -80.42728184013652)",37.2219,-80.4273
NC State,Raleigh,NC,"NC State, NC","(35.7851, -78.6813)",35.7851,-78.6813
